Timestamp,Source IP,Destination IP,Protocol,Length
2025-07-23 10:45:00,192.168.0.192,224.0.0.251,UDP,292
2025-07-23 10:45:01,192.168.0.112,172.64.155.209,TCP,55
2025-07-23 10:45:01,172.64.155.209,192.168.0.112,TCP,66
2025-07-23 10:45:01,192.168.0.22,255.255.255.255,UDP,789
2025-07-23 10:45:01,192.168.0.215,224.0.0.251,UDP,91
2025-07-23 10:45:01,192.168.0.227,239.255.255.250,UDP,167
2025-07-23 10:45:01,192.168.0.127,239.255.255.250,UDP,167
2025-07-23 10:45:01,192.168.0.127,224.0.0.251,UDP,87
2025-07-23 10:45:01,192.168.0.25,255.255.255.255,UDP,785
